week,region,category,demand
7,R4_NorthWest,essentials,666
7,R5_NorthEast,essentials,527
7,R6_SouthWest,essentials,417
7,R1_London,outdoor,348
7,R2_SouthEast,outdoor,214
7,R3_Midlands,outdoor,222
7,R4_NorthWest,outdoor,177
7,R5_NorthEast,outdoor,120
7,R6_SouthWest,outdoor,100
7,R1_London,gifting,816
7,R2_SouthEast,gifting,540
7,R3_Midlands,gifting,458
7,R4_NorthWest,gifting,468
7,R5_NorthEast,gifting,279
7,R6_SouthWest,gifting,279
8,R1_London,essentials,1375
8,R2_SouthEast,essentials,755
8,R3_Midlands,essentials,731
8,R4_NorthWest,essentials,712
8,R5_NorthEast,essentials,541
8,R6_SouthWest,essentials,480
8,R1_London,outdoor,414
8,R2_SouthEast,outdoor,251
8,R3_Midlands,outdoor,213
8,R4_NorthWest,outdoor,216
8,R5_NorthEast,outdoor,141
8,R6_SouthWest,outdoor,124
8,R1_London,gifting,830
8,R2_SouthEast,gifting,480
8,R3_Midlands,gifting,435
8,R4_NorthWest,gifting,409
8,R5_NorthEast,gifting,334
8,R6_SouthWest,gifting,269
9,R1_London,essentials,1402
9,R2_SouthEast,essentials,843
9,R3_Midlands,essentials,735
9,R4_NorthWest,essentials,698
9,R5_NorthEast,essentials,511
9,R6_SouthWest,essentials,425
9,R1_London,outdoor,394
9,R2_SouthEast,outdoor,271
9,R3_Midlands,outdoor,241
9,R4_NorthWest,outdoor,245
9,R5_NorthEast,outdoor,160
9,R6_SouthWest,outdoor,146
9,R1_London,gifting,784
9,R2_SouthEast,gifting,465
9,R3_Midlands,gifting,432
9,R4_NorthWest,gifting,389
9,R5_NorthEast,gifting,317
9,R6_SouthWest,gifting,237
10,R1_London,essentials,1365
10,R2_SouthEast,essentials,833
10,R3_Midlands,essentials,706
10,R4_NorthWest,essentials,695
10,R5_NorthEast,essentials,485
10,R6_SouthWest,essentials,425
10,R1_London,outdoor,503
10,R2_SouthEast,outdoor,271
10,R3_Midlands,outdoor,248
10,R4_NorthWest,outdoor,244
10,R5_NorthEast,outdoor,151
10,R6_SouthWest,outdoor,159
10,R1_London,gifting,731
10,R2_SouthEast,gifting,457
10,R3_Midlands,gifting,384
10,R4_NorthWest,gifting,351
10,R5_NorthEast,gifting,280
10,R6_SouthWest,gifting,231
11,R1_London,essentials,1354
11,R2_SouthEast,essentials,756
11,R3_Midlands,essentials,680
11,R4_NorthWest,essentials,680
11,R5_NorthEast,essentials,497
11,R6_SouthWest,essentials,428
11,R1_London,outdoor,453
11,R2_SouthEast,outdoor,331
11,R3_Midlands,outdoor,276
11,R4_NorthWest,outdoor,209
11,R5_NorthEast,outdoor,165
11,R6_SouthWest,outdoor,176
11,R1_London,gifting,698
11,R2_SouthEast,gifting,415
11,R3_Midlands,gifting,343
11,R4_NorthWest,gifting,295
11,R5_NorthEast,gifting,255
11,R6_SouthWest,gifting,199
12,R1_London,essentials,1356
12,R2_SouthEast,essentials,800
12,R3_Midlands,essentials,764
12,R4_NorthWest,essentials,668
12,R5_NorthEast,essentials,495
12,R6_SouthWest,essentials,416
12,R1_London,outdoor,535
12,R2_SouthEast,outdoor,300
12,R3_Midlands,outdoor,277
12,R4_NorthWest,outdoor,267
12,R5_NorthEast,outdoor,204
12,R6_SouthWest,outdoor,177
12,R1_London,gifting,616
12,R2_SouthEast,gifting,364
12,R3_Midlands,gifting,329
12,R4_NorthWest,gifting,315
12,R5_NorthEast,gifting,230
12,R6_SouthWest,gifting,216
13,R1_London,essentials,1304
13,R2_SouthEast,essentials,775
13,R3_Midlands,essentials,718
13,R4_NorthWest,essentials,700
13,R5_NorthEast,essentials,482
13,R6_SouthWest,essentials,425
13,R1_London,outdoor,586
13,R2_SouthEast,outdoor,317
13,R3_Midlands,outdoor,275
13,R4_NorthWest,outdoor,285
13,R5_NorthEast,outdoor,207
13,R6_SouthWest,outdoor,212
13,R1_London,gifting,524
13,R2_SouthEast,gifting,306
13,R3_Midlands,gifting,309
13,R4_NorthWest,gifting,285
13,R5_NorthEast,gifting,198
13,R6_SouthWest,gifting,185
14,R1_London,essentials,1257
14,R2_SouthEast,essentials,744
14,R3_Midlands,essentials,683
14,R4_NorthWest,essentials,668
14,R5_NorthEast,essentials,473
14,R6_SouthWest,essentials,411
14,R1_London,outdoor,572
14,R2_SouthEast,outdoor,368
14,R3_Midlands,outdoor,342
14,R4_NorthWest,outdoor,287
14,R5_NorthEast,outdoor,250
14,R6_SouthWest,outdoor,217
14,R1_London,gifting,513
14,R2_SouthEast,gifting,290
14,R3_Midlands,gifting,256
14,R4_NorthWest,gifting,246
14,R5_NorthEast,gifting,197
14,R6_SouthWest,gifting,185
15,R1_London,essentials,1324
15,R2_SouthEast,essentials,769
15,R3_Midlands,essentials,645
15,R4_NorthWest,essentials,684
15,R5_NorthEast,essentials,447
15,R6_SouthWest,essentials,407
15,R1_London,outdoor,729
15,R2_SouthEast,outdoor,397
15,R3_Midlands,outdoor,375
15,R4_NorthWest,outdoor,339
15,R5_NorthEast,outdoor,274
15,R6_SouthWest,outdoor,246
15,R1_London,gifting,453
15,R2_SouthEast,gifting,266
15,R3_Midlands,gifting,224
15,R4_NorthWest,gifting,231
15,R5_NorthEast,gifting,144
15,R6_SouthWest,gifting,157
16,R1_London,essentials,1300
16,R2_SouthEast,essentials,765
16,R3_Midlands,essentials,722
16,R4_NorthWest,essentials,576
16,R5_NorthEast,essentials,476
16,R6_SouthWest,essentials,440
16,R1_London,outdoor,750
16,R2_SouthEast,outdoor,390
16,R3_Midlands,outdoor,396
16,R4_NorthWest,outdoor,375
16,R5_NorthEast,outdoor,263
16,R6_SouthWest,outdoor,251
16,R1_London,gifting,409
16,R2_SouthEast,gifting,250
16,R3_Midlands,gifting,209
16,R4_NorthWest,gifting,183
16,R5_NorthEast,gifting,129
16,R6_SouthWest,gifting,123
17,R1_London,essentials,1231
17,R2_SouthEast,essentials,717
17,R3_Midlands,essentials,675
17,R4_NorthWest,essentials,668
17,R5_NorthEast,essentials,432
17,R6_SouthWest,essentials,379
17,R1_London,outdoor,790
17,R2_SouthEast,outdoor,463
17,R3_Midlands,outdoor,431
17,R4_NorthWest,outdoor,377
17,R5_NorthEast,outdoor,272
17,R6_SouthWest,outdoor,286
17,R1_London,gifting,349
17,R2_SouthEast,gifting,207
17,R3_Midlands,gifting,168
17,R4_NorthWest,gifting,159
17,R5_NorthEast,gifting,133
17,R6_SouthWest,gifting,110
18,R1_London,essentials,1273
18,R2_SouthEast,essentials,767
18,R3_Midlands,essentials,665
18,R4_NorthWest,essentials,630
18,R5_NorthEast,essentials,455
18,R6_SouthWest,essentials,382
18,R1_London,outdoor,805
18,R2_SouthEast,outdoor,494
18,R3_Midlands,outdoor,430
18,R4_NorthWest,outdoor,385
18,R5_NorthEast,outdoor,268
18,R6_SouthWest,outdoor,260
18,R1_London,gifting,284
18,R2_SouthEast,gifting,190
18,R3_Midlands,gifting,154
18,R4_NorthWest,gifting,138
18,R5_NorthEast,gifting,115
18,R6_SouthWest,gifting,89
19,R1_London,essentials,1196
19,R2_SouthEast,essentials,749
19,R3_Midlands,essentials,640
19,R4_NorthWest,essentials,555
19,R5_NorthEast,essentials,462
19,R6_SouthWest,essentials,361
19,R1_London,outdoor,926
19,R2_SouthEast,outdoor,502
19,R3_Midlands,outdoor,436
19,R4_NorthWest,outdoor,421
19,R5_NorthEast,outdoor,325
19,R6_SouthWest,outdoor,298
19,R1_London,gifting,261
19,R2_SouthEast,gifting,139
19,R3_Midlands,gifting,130
19,R4_NorthWest,gifting,135
19,R5_NorthEast,gifting,100
19,R6_SouthWest,gifting,74
20,R1_London,essentials,1191
20,R2_SouthEast,essentials,744
20,R3_Midlands,essentials,664
20,R4_NorthWest,essentials,640
20,R5_NorthEast,essentials,416
20,R6_SouthWest,essentials,415
20,R1_London,outdoor,880
20,R2_SouthEast,outdoor,584
20,R3_Midlands,outdoor,499
20,R4_NorthWest,outdoor,412
20,R5_NorthEast,outdoor,326
20,R6_SouthWest,outdoor,326
20,R1_London,gifting,215
20,R2_SouthEast,gifting,141
20,R3_Midlands,gifting,116
20,R4_NorthWest,gifting,102
20,R5_NorthEast,gifting,83
20,R6_SouthWest,gifting,68
21,R1_London,essentials,1199
21,R2_SouthEast,essentials,676
21,R3_Midlands,essentials,631
21,R4_NorthWest,essentials,573
21,R5_NorthEast,essentials,420
21,R6_SouthWest,essentials,413
21,R1_London,outdoor,952
21,R2_SouthEast,outdoor,595
21,R3_Midlands,outdoor,534
21,R4_NorthWest,outdoor,449
21,R5_NorthEast,outdoor,377
21,R6_SouthWest,outdoor,294
21,R1_London,gifting,190
21,R2_SouthEast,gifting,115
21,R3_Midlands,gifting,93
21,R4_NorthWest,gifting,93
21,R5_NorthEast,gifting,64
21,R6_SouthWest,gifting,75
22,R1_London,essentials,1153
22,R2_SouthEast,essentials,703
22,R3_Midlands,essentials,604
22,R4_NorthWest,essentials,581
22,R5_NorthEast,essentials,418
22,R6_SouthWest,essentials,411
22,R1_London,outdoor,981
22,R2_SouthEast,outdoor,576
22,R3_Midlands,outdoor,532
22,R4_NorthWest,outdoor,447
22,R5_NorthEast,outdoor,367
22,R6_SouthWest,outdoor,320
22,R1_London,gifting,166
22,R2_SouthEast,gifting,76
22,R3_Midlands,gifting,78
22,R4_NorthWest,gifting,64
22,R5_NorthEast,gifting,60
22,R6_SouthWest,gifting,44
23,R1_London,essentials,1137
23,R2_SouthEast,essentials,712
23,R3_Midlands,essentials,612
23,R4_NorthWest,essentials,581
23,R5_NorthEast,essentials,449
23,R6_SouthWest,essentials,433
23,R1_London,outdoor,1085
23,R2_SouthEast,outdoor,605
23,R3_Midlands,outdoor,529
23,R4_NorthWest,outdoor,515
23,R5_NorthEast,outdoor,393
23,R6_SouthWest,outdoor,371
23,R1_London,gifting,139
23,R2_SouthEast,gifting,76
23,R3_Midlands,gifting,91
23,R4_NorthWest,gifting,76
23,R5_NorthEast,gifting,50
23,R6_SouthWest,gifting,47
24,R1_London,essentials,1122
24,R2_SouthEast,essentials,761
24,R3_Midlands,essentials,681
24,R4_NorthWest,essentials,587
24,R5_NorthEast,essentials,412
24,R6_SouthWest,essentials,362
24,R1_London,outdoor,1051
24,R2_SouthEast,outdoor,639
24,R3_Midlands,outdoor,572
24,R4_NorthWest,outdoor,551
24,R5_NorthEast,outdoor,369
24,R6_SouthWest,outdoor,347
24,R1_London,gifting,122
24,R2_SouthEast,gifting,80
24,R3_Midlands,gifting,76
24,R4_NorthWest,gifting,78
24,R5_NorthEast,gifting,50
24,R6_SouthWest,gifting,30
25,R1_London,essentials,1115
25,R2_SouthEast,essentials,705
25,R3_Midlands,essentials,661
25,R4_NorthWest,essentials,596
25,R5_NorthEast,essentials,435
25,R6_SouthWest,essentials,385
25,R1_London,outdoor,1080
25,R2_SouthEast,outdoor,670
25,R3_Midlands,outdoor,522
25,R4_NorthWest,outdoor,582
25,R5_NorthEast,outdoor,411
25,R6_SouthWest,outdoor,407
25,R1_London,gifting,132
25,R2_SouthEast,gifting,76
25,R3_Midlands,gifting,66
25,R4_NorthWest,gifting,60
25,R5_NorthEast,gifting,42
25,R6_SouthWest,gifting,40
26,R1_London,essentials,1099
26,R2_SouthEast,essentials,704
26,R3_Midlands,essentials,591
26,R4_NorthWest,essentials,606
26,R5_NorthEast,essentials,433
26,R6_SouthWest,essentials,371
26,R1_London,outdoor,1094
26,R2_SouthEast,outdoor,711
26,R3_Midlands,outdoor,598
26,R4_NorthWest,outdoor,613
26,R5_NorthEast,outdoor,394
26,R6_SouthWest,outdoor,366
26,R1_London,gifting,143
26,R2_SouthEast,gifting,75
26,R3_Midlands,gifting,78
26,R4_NorthWest,gifting,65
26,R5_NorthEast,gifting,50
26,R6_SouthWest,gifting,54
27,R1_London,essentials,1177
27,R2_SouthEast,essentials,688
27,R3_Midlands,essentials,593
27,R4_NorthWest,essentials,559
27,R5_NorthEast,essentials,426
27,R6_SouthWest,essentials,366
27,R1_London,outdoor,1173
27,R2_SouthEast,outdoor,704
27,R3_Midlands,outdoor,573
27,R4_NorthWest,outdoor,533
27,R5_NorthEast,outdoor,391
27,R6_SouthWest,outdoor,384
27,R1_London,gifting,124
27,R2_SouthEast,gifting,77
27,R3_Midlands,gifting,78
27,R4_NorthWest,gifting,79
27,R5_NorthEast,gifting,49
27,R6_SouthWest,gifting,46
28,R1_London,essentials,1094
28,R2_SouthEast,essentials,685
28,R3_Midlands,essentials,557
28,R4_NorthWest,essentials,563
28,R5_NorthEast,essentials,443
28,R6_SouthWest,essentials,377
28,R1_London,outdoor,1167
28,R2_SouthEast,outdoor,684
28,R3_Midlands,outdoor,579
28,R4_NorthWest,outdoor,534
28,R5_NorthEast,outdoor,421
28,R6_SouthWest,outdoor,338
28,R1_London,gifting,155
28,R2_SouthEast,gifting,105
28,R3_Midlands,gifting,73
28,R4_NorthWest,gifting,88
28,R5_NorthEast,gifting,66
28,R6_SouthWest,gifting,50
29,R1_London,essentials,1121
29,R2_SouthEast,essentials,688
29,R3_Midlands,essentials,609
29,R4_NorthWest,essentials,552
29,R5_NorthEast,essentials,436
29,R6_SouthWest,essentials,350
29,R1_London,outdoor,1110
29,R2_SouthEast,outdoor,680
29,R3_Midlands,outdoor,580
29,R4_NorthWest,outdoor,569
29,R5_NorthEast,outdoor,447
29,R6_SouthWest,outdoor,365
29,R1_London,gifting,174
29,R2_SouthEast,gifting,111
29,R3_Midlands,gifting,108
29,R4_NorthWest,gifting,59
29,R5_NorthEast,gifting,69
29,R6_SouthWest,gifting,55
30,R1_London,essentials,1174
30,R2_SouthEast,essentials,693
30,R3_Midlands,essentials,595
30,R4_NorthWest,essentials,561
30,R5_NorthEast,essentials,431
30,R6_SouthWest,essentials,411
30,R1_London,outdoor,1107
30,R2_SouthEast,outdoor,684
30,R3_Midlands,outdoor,658
30,R4_NorthWest,outdoor,550
30,R5_NorthEast,outdoor,399
30,R6_SouthWest,outdoor,364
30,R1_London,gifting,200
30,R2_SouthEast,gifting,116
30,R3_Midlands,gifting,127
30,R4_NorthWest,gifting,103
30,R5_NorthEast,gifting,75
30,R6_SouthWest,gifting,74
31,R1_London,essentials,1199
31,R2_SouthEast,essentials,650
31,R3_Midlands,essentials,579
31,R4_NorthWest,essentials,543
31,R5_NorthEast,essentials,438
31,R6_SouthWest,essentials,336
31,R1_London,outdoor,1119
31,R2_SouthEast,outdoor,687
31,R3_Midlands,outdoor,606
31,R4_NorthWest,outdoor,561
31,R5_NorthEast,outdoor,390
31,R6_SouthWest,outdoor,359
31,R1_London,gifting,272
31,R2_SouthEast,gifting,146
31,R3_Midlands,gifting,132
31,R4_NorthWest,gifting,146
31,R5_NorthEast,gifting,89
31,R6_SouthWest,gifting,83
32,R1_London,essentials,1152
32,R2_SouthEast,essentials,697
32,R3_Midlands,essentials,605
32,R4_NorthWest,essentials,540
32,R5_NorthEast,essentials,438
32,R6_SouthWest,essentials,368
32,R1_London,outdoor,1149
32,R2_SouthEast,outdoor,681
32,R3_Midlands,outdoor,591
32,R4_NorthWest,outdoor,567
32,R5_NorthEast,outdoor,415
32,R6_SouthWest,outdoor,388
32,R1_London,gifting,295
32,R2_SouthEast,gifting,170
32,R3_Midlands,gifting,153
32,R4_NorthWest,gifting,139
32,R5_NorthEast,gifting,117
32,R6_SouthWest,gifting,99
33,R1_London,essentials,1128
33,R2_SouthEast,essentials,733
33,R3_Midlands,essentials,582
33,R4_NorthWest,essentials,580
33,R5_NorthEast,essentials,422
33,R6_SouthWest,essentials,383
33,R1_London,outdoor,1134
33,R2_SouthEast,outdoor,645
33,R3_Midlands,outdoor,621
33,R4_NorthWest,outdoor,553
33,R5_NorthEast,outdoor,416
33,R6_SouthWest,outdoor,377
33,R1_London,gifting,350
33,R2_SouthEast,gifting,204
33,R3_Midlands,gifting,171
33,R4_NorthWest,gifting,158
33,R5_NorthEast,gifting,123
33,R6_SouthWest,gifting,151
34,R1_London,essentials,1186
34,R2_SouthEast,essentials,713
34,R3_Midlands,essentials,620
34,R4_NorthWest,essentials,647
34,R5_NorthEast,essentials,442
34,R6_SouthWest,essentials,421
34,R1_London,outdoor,1143
34,R2_SouthEast,outdoor,612
34,R3_Midlands,outdoor,602
34,R4_NorthWest,outdoor,542
34,R5_NorthEast,outdoor,399
34,R6_SouthWest,outdoor,357
34,R1_London,gifting,376
34,R2_SouthEast,gifting,280
34,R3_Midlands,gifting,230
34,R4_NorthWest,gifting,179
34,R5_NorthEast,gifting,147
34,R6_SouthWest,gifting,139
35,R1_London,essentials,1177
35,R2_SouthEast,essentials,698
35,R3_Midlands,essentials,589
35,R4_NorthWest,essentials,612
35,R5_NorthEast,essentials,472
35,R6_SouthWest,essentials,338
35,R1_London,outdoor,1021
35,R2_SouthEast,outdoor,609
35,R3_Midlands,outdoor,532
35,R4_NorthWest,outdoor,502
35,R5_NorthEast,outdoor,417
35,R6_SouthWest,outdoor,357
35,R1_London,gifting,472
35,R2_SouthEast,gifting,264
35,R3_Midlands,gifting,228
35,R4_NorthWest,gifting,258
35,R5_NorthEast,gifting,177
35,R6_SouthWest,gifting,138
36,R1_London,essentials,1208
36,R2_SouthEast,essentials,710
36,R3_Midlands,essentials,653
36,R4_NorthWest,essentials,644
36,R5_NorthEast,essentials,407
36,R6_SouthWest,essentials,398
36,R1_London,outdoor,1010
36,R2_SouthEast,outdoor,608
36,R3_Midlands,outdoor,536
36,R4_NorthWest,outdoor,514
36,R5_NorthEast,outdoor,380
36,R6_SouthWest,outdoor,366
36,R1_London,gifting,465
36,R2_SouthEast,gifting,314
36,R3_Midlands,gifting,269
36,R4_NorthWest,gifting,275
36,R5_NorthEast,gifting,181
36,R6_SouthWest,gifting,165
37,R1_London,essentials,1240
37,R2_SouthEast,essentials,742
37,R3_Midlands,essentials,620
37,R4_NorthWest,essentials,571
37,R5_NorthEast,essentials,449
37,R6_SouthWest,essentials,431
37,R1_London,outdoor,933
37,R2_SouthEast,outdoor,558
37,R3_Midlands,outdoor,507
37,R4_NorthWest,outdoor,519
37,R5_NorthEast,outdoor,370
37,R6_SouthWest,outdoor,318
37,R1_London,gifting,543
37,R2_SouthEast,gifting,332
37,R3_Midlands,gifting,307
37,R4_NorthWest,gifting,254
37,R5_NorthEast,gifting,222
37,R6_SouthWest,gifting,205
38,R1_London,essentials,1255
38,R2_SouthEast,essentials,720
38,R3_Midlands,essentials,647
38,R4_NorthWest,essentials,589
38,R5_NorthEast,essentials,435
38,R6_SouthWest,essentials,380
38,R1_London,outdoor,918
38,R2_SouthEast,outdoor,542
38,R3_Midlands,outdoor,541
38,R4_NorthWest,outdoor,477
38,R5_NorthEast,outdoor,370
38,R6_SouthWest,outdoor,328
38,R1_London,gifting,591
38,R2_SouthEast,gifting,379
38,R3_Midlands,gifting,333
38,R4_NorthWest,gifting,319
38,R5_NorthEast,gifting,210
38,R6_SouthWest,gifting,225
39,R1_London,essentials,1283
39,R2_SouthEast,essentials,732
39,R3_Midlands,essentials,665
39,R4_NorthWest,essentials,605
39,R5_NorthEast,essentials,439
39,R6_SouthWest,essentials,391
39,R1_London,outdoor,959
39,R2_SouthEast,outdoor,560
39,R3_Midlands,outdoor,454
39,R4_NorthWest,outdoor,467
39,R5_NorthEast,outdoor,357
39,R6_SouthWest,outdoor,306
39,R1_London,gifting,674
39,R2_SouthEast,gifting,475
39,R3_Midlands,gifting,367
39,R4_NorthWest,gifting,334
39,R5_NorthEast,gifting,269
39,R6_SouthWest,gifting,249
40,R1_London,essentials,1216
40,R2_SouthEast,essentials,776
40,R3_Midlands,essentials,658
40,R4_NorthWest,essentials,615
40,R5_NorthEast,essentials,437
40,R6_SouthWest,essentials,415
40,R1_London,outdoor,857
40,R2_SouthEast,outdoor,501
40,R3_Midlands,outdoor,434
40,R4_NorthWest,outdoor,439
40,R5_NorthEast,outdoor,308
40,R6_SouthWest,outdoor,265
40,R1_London,gifting,740
40,R2_SouthEast,gifting,488
40,R3_Midlands,gifting,390
40,R4_NorthWest,gifting,364
40,R5_NorthEast,gifting,313
40,R6_SouthWest,gifting,239
41,R1_London,essentials,1254
41,R2_SouthEast,essentials,727
41,R3_Midlands,essentials,697
41,R4_NorthWest,essentials,674
41,R5_NorthEast,essentials,489
41,R6_SouthWest,essentials,409
41,R1_London,outdoor,820
41,R2_SouthEast,outdoor,493
41,R3_Midlands,outdoor,453
41,R4_NorthWest,outdoor,413
41,R5_NorthEast,outdoor,305
41,R6_SouthWest,outdoor,243
41,R1_London,gifting,817
41,R2_SouthEast,gifting,495
41,R3_Midlands,gifting,420
41,R4_NorthWest,gifting,419
41,R5_NorthEast,gifting,282
41,R6_SouthWest,gifting,300
42,R1_London,essentials,1264
42,R2_SouthEast,essentials,766
42,R3_Midlands,essentials,641
42,R4_NorthWest,essentials,674
42,R5_NorthEast,essentials,489
42,R6_SouthWest,essentials,414
42,R1_London,outdoor,735
42,R2_SouthEast,outdoor,459
42,R3_Midlands,outdoor,412
42,R4_NorthWest,outdoor,374
42,R5_NorthEast,outdoor,267
42,R6_SouthWest,outdoor,283
42,R1_London,gifting,897
42,R2_SouthEast,gifting,554
42,R3_Midlands,gifting,497
42,R4_NorthWest,gifting,439
42,R5_NorthEast,gifting,307
42,R6_SouthWest,gifting,302
43,R1_London,essentials,1322
43,R2_SouthEast,essentials,776
43,R3_Midlands,essentials,702
43,R4_NorthWest,essentials,684
43,R5_NorthEast,essentials,465
43,R6_SouthWest,essentials,464
43,R1_London,outdoor,686
43,R2_SouthEast,outdoor,401
43,R3_Midlands,outdoor,347
43,R4_NorthWest,outdoor,326
43,R5_NorthEast,outdoor,260
43,R6_SouthWest,outdoor,239
43,R1_London,gifting,941
43,R2_SouthEast,gifting,572
43,R3_Midlands,gifting,485
43,R4_NorthWest,gifting,441
43,R5_NorthEast,gifting,327
43,R6_SouthWest,gifting,296
44,R1_London,essentials,1293
44,R2_SouthEast,essentials,821
44,R3_Midlands,essentials,721
44,R4_NorthWest,essentials,633
44,R5_NorthEast,essentials,516
44,R6_SouthWest,essentials,441
44,R1_London,outdoor,655
44,R2_SouthEast,outdoor,397
44,R3_Midlands,outdoor,323
44,R4_NorthWest,outdoor,335
44,R5_NorthEast,outdoor,211
44,R6_SouthWest,outdoor,213
44,R1_London,gifting,952
44,R2_SouthEast,gifting,605
44,R3_Midlands,gifting,547
44,R4_NorthWest,gifting,507
44,R5_NorthEast,gifting,359
44,R6_SouthWest,gifting,359
45,R1_London,essentials,1330
45,R2_SouthEast,essentials,816
45,R3_Midlands,essentials,709
45,R4_NorthWest,essentials,708
45,R5_NorthEast,essentials,484
45,R6_SouthWest,essentials,439
45,R1_London,outdoor,582
45,R2_SouthEast,outdoor,378
45,R3_Midlands,outdoor,302
45,R4_NorthWest,outdoor,293
45,R5_NorthEast,outdoor,218
45,R6_SouthWest,outdoor,201
45,R1_London,gifting,996
45,R2_SouthEast,gifting,595
45,R3_Midlands,gifting,555
45,R4_NorthWest,gifting,555
45,R5_NorthEast,gifting,377
45,R6_SouthWest,gifting,330
46,R1_London,essentials,1399
46,R2_SouthEast,essentials,785
46,R3_Midlands,essentials,719
46,R4_NorthWest,essentials,671
46,R5_NorthEast,essentials,486
46,R6_SouthWest,essentials,437
46,R1_London,outdoor,528
46,R2_SouthEast,outdoor,357
46,R3_Midlands,outdoor,283
46,R4_NorthWest,outdoor,282
46,R5_NorthEast,outdoor,197
46,R6_SouthWest,outdoor,193
46,R1_London,gifting,1000
46,R2_SouthEast,gifting,644
46,R3_Midlands,gifting,595
46,R4_NorthWest,gifting,539
46,R5_NorthEast,gifting,387
46,R6_SouthWest,gifting,384
47,R1_London,essentials,1311
47,R2_SouthEast,essentials,826
47,R3_Midlands,essentials,730
47,R4_NorthWest,essentials,677
47,R5_NorthEast,essentials,495
47,R6_SouthWest,essentials,433
47,R1_London,outdoor,507
47,R2_SouthEast,outdoor,317
47,R3_Midlands,outdoor,290
47,R4_NorthWest,outdoor,269
47,R5_NorthEast,outdoor,188
47,R6_SouthWest,outdoor,162
47,R1_London,gifting,1069
47,R2_SouthEast,gifting,652
47,R3_Midlands,gifting,641
